"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 19:52:34 GMT 2024","Fri Feb 23 19:52:35 GMT 2024","455","","","","Tests","GenericDeserialization","GenericDeserialization",""
"passed","Fri Feb 23 19:52:36 GMT 2024","Fri Feb 23 19:52:36 GMT 2024","182","","","","Tests","NewOrderMissingCustomerName","NewOrderMissingCustomerName",""
"passed","Fri Feb 23 19:52:35 GMT 2024","Fri Feb 23 19:52:35 GMT 2024","175","","","","Tests","NewOrderInvalidProductId","NewOrderInvalidProductId(4000)",""
"passed","Fri Feb 23 19:52:35 GMT 2024","Fri Feb 23 19:52:35 GMT 2024","183","","","","Tests","NewOrderInvalidProductId","NewOrderInvalidProductId(1001)",""
"passed","Fri Feb 23 19:52:35 GMT 2024","Fri Feb 23 19:52:36 GMT 2024","183","","","","Tests","NewOrderInvalidProductId","NewOrderInvalidProductId(-1001)",""
"passed","Fri Feb 23 19:52:35 GMT 2024","Fri Feb 23 19:52:35 GMT 2024","435","","","","Tests","GetAllOrders","GetAllOrders",""
"passed","Fri Feb 23 19:52:36 GMT 2024","Fri Feb 23 19:52:36 GMT 2024","187","","","","Tests","NewOrderInvalidQuantity","NewOrderInvalidQuantity(0)",""
"passed","Fri Feb 23 19:52:36 GMT 2024","Fri Feb 23 19:52:37 GMT 2024","180","","","","Tests","PlaceNewOrder","PlaceNewOrder",""
"passed","Fri Feb 23 19:52:36 GMT 2024","Fri Feb 23 19:52:36 GMT 2024","190","","","","Tests","NewOrderInvalidQuantity","NewOrderInvalidQuantity(-1)",""
"passed","Fri Feb 23 19:52:36 GMT 2024","Fri Feb 23 19:52:36 GMT 2024","183","","","","Tests","NewOrderInvalidProductId","NewOrderInvalidProductId(0)",""
